Academic Year ,Fall,Spring,Asian,Black/African American,Hispanic/Latino,Middle Eastern or North African,Native American or Alaskan Native,Pacific Islander,Two or More Races,Unknown,White,Total
2013-2014,2013,2014,2000,935,8551,37,112,130,1447,583,11694,25489
2014-2015,2014,2015,1996,878,8776,52,89,116,1461,600,11232,25200
2015-2016,2015,2016,2099,894,9531,60,94,125,1491,554,11123,25971
2016-2017,2016,2017,2129,872,9845,70,77,141,1501,546,10748,25929
2017-2018,2017,2018,2144,808,9794,73,77,159,1505,485,10231,25276
2018-2019,2018,2019,2057,782,9856,84,76,134,1446,490,9421,24346
2019-2020,2019,2020,1974,728,9714,183,82,134,1437,576,8719,23547
2020-2021,2020,2021,1816,685,8780,239,64,126,1442,440,8270,21862
2021-2022,2021,2022,1758,655,8722,272,71,127,1406,475,7324,20810
2022-2023,2022,2023,1812,673,9090,269,54,126,1463,556,7387,21430
2023-2024,2023,2024,2012,726,9650,305,73,125,1585,514,7627,22617
2024-2025,2024,2025,2002,716,9744,315,67,124,1616,362,7440,22386